gene_a,gene_b,phi,n11,p_adj
adeC,ftsI_A515V,0.2738,321,5.149776819009244e-44
aac(6')-Ib',blaTEM-1,0.2737,213,1.2069313734210505e-35
aac(6')-Ib',tet(B),0.2735,286,1.0642681459686702e-39
aadA1,tet(B),0.2732,407,3.01244213673677e-39
parC_S84L,sul1,0.2728,741,2.2226446012425753e-41
blaADC,blaOXA-239,0.2716,32,7.66095695079299e-26
aac(3)-Ia,tet(A),0.2694,37,3.2828354231079985e-23
aac(3)-Ia,blaADC-30,0.2662,164,4.113118390709297e-32
aadA1,parC_S84L,0.2656,534,1.450479888848539e-41
aac(3)-Ia,aph(3')-Ia,0.263,205,7.195875609384231e-34
ant(2'')-Ia,blaADC-152,0.2626,21,1.6664188015262231e-16
blaADC-76,blaPER-7,0.2623,18,6.302608631485412e-14
aadA1,mph(E),0.262,382,9.865089904473751e-36
catB8,parC_S84L,0.2614,361,8.650002612501498e-45
blaOXA-69,sat2,0.2607,21,1.819517728422602e-15
blaNDM-1,blaOXA-58,0.2607,40,2.2782838393528506e-20
blaNDM-1,dfrA45,0.2595,24,3.115594039728946e-17
aac(6')-Ib',parC_S84L,0.2595,361,5.658851460725226e-44
aac(3)-Ia,catA1,0.2589,46,1.3425262798951931e-22
aac(6')-Ib3,blaADC-11,0.2589,12,4.271428526153404e-11
blaOXA-58,ble,0.2572,40,4.980315617839399e-20
aadA1,msr(E),0.2568,381,2.239900700477851e-34
ble,dfrA45,0.2564,24,4.99258225482597e-17
blaOXA-68,dfrA45,0.2559,12,5.3537519374429656e-11
blaOXA-69,dfrA1,0.2554,23,1.249862835682947e-15
blaOXA-66,sul1,0.2547,529,2.981919198590302e-34
aac(6')-Ib4,blaNDM-1,0.2528,20,9.002822118505023e-16
aac(6')-Ib3,aadA2,0.2527,16,7.953451617797591e-13
aadT,blaADC-76,0.2526,16,1.2600797061754025e-12
arr-2,sul1,0.2504,87,2.0075052270784573e-37
blaOXA-23,catB8,0.2502,306,6.006901151608824e-35
aac(6')-Ib4,ble,0.2499,20,1.3333801406150275e-15
catB8,gyrA_S81L,0.2494,381,8.805548921166239e-49
ftsI_A515V,gyrA_S81L,0.2491,369,9.795680770736079e-51
aac(6')-Ib',blaOXA-23,0.2487,306,1.5908441185063276e-34
blaADC-30,blaOXA-23,0.2479,399,1.4693086001864716e-33
cmlA5,sul1,0.2474,85,1.59288849055309e-36
aac(6')-Ib',gyrA_S81L,0.2472,381,3.3247454594187806e-47
blaOXA-23,blaTEM-1,0.2467,468,6.027785173335954e-33
blaADC-52,blaNDM-1,0.2464,24,4.828041523479734e-16
blaADC-76,dfrA45,0.2459,12,1.2934660910607175e-10
blaADC,blaOXA-65,0.2454,62,1.2655463219339154e-22
blaADC-52,ble,0.2434,24,7.675310063955565e-16
armA,arr-2,0.243,83,3.9240619786752896e-32
